,identifierHash,type,countryCode,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasProfilePicture,seniority,seniorityAsMonths,seniorityAsYears,websiteLongevity
4149,670629796,user,fr,France,fr,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4150,669974436,user,it,Italie,it,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4151,669712292,user,fr,France,en,5,8,0,0,0,0.0,1,0,M,1,mr,True,3203,106.77,8.9,3803
4152,669122468,user,dk,Danemark,en,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4153,669056932,user,at,Autriche,de,6,8,10,0,1,0.0,0,1,M,1,mr,False,3203,106.77,8.9,3803
4154,668991396,user,ie,Irlande,en,12,8,0,0,4,50.0,1,1,M,1,mr,True,3203,106.77,8.9,3803
4155,668860324,user,gb,Royaume-Uni,en,7,8,20,0,0,0.0,23,8,M,1,mr,True,3203,106.77,8.9,3803
4156,668794788,user,se,Suède,en,5,8,10,0,0,0.0,1,0,M,1,mr,True,3203,106.77,8.9,3803
4157,668204964,user,fr,France,fr,3,8,2,0,0,0.0,1,0,M,1,mr,True,3203,106.77,8.9,3803
4158,668008356,user,es,Espagne,es,36,9,293,0,0,0.0,364,3,M,1,mr,False,3203,106.77,8.9,3803
4159,667877284,user,gb,Royaume-Uni,en,3,8,7,0,0,0.0,3,0,M,1,mr,True,3203,106.77,8.9,3803
4160,667615140,user,gb,Royaume-Uni,en,3,8,20,0,0,0.0,4,4,M,1,mr,True,3203,106.77,8.9,3803
4161,667221924,user,se,Suède,en,3,9,62,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4162,666828708,user,fi,Finlande,en,5,8,2,0,0,0.0,0,1,M,1,mr,True,3203,106.77,8.9,3803
4163,666501028,user,fr,France,fr,3,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4164,666435492,user,is,Islande,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4165,666369956,user,fr,France,fr,4,9,7,0,0,0.0,1,0,M,1,mr,True,3203,106.77,8.9,3803
4166,666238884,user,be,Belgique,fr,5,8,31,0,0,0.0,1,0,M,1,mr,True,3203,106.77,8.9,3803
4167,666173348,user,us,Etats-Unis,en,5,8,2,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4168,665649060,user,fr,France,fr,5,8,1,0,0,0.0,2,1,M,1,mr,True,3203,106.77,8.9,3803
4169,665517988,user,us,Etats-Unis,en,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4170,664403876,user,at,Autriche,en,5,8,10,0,0,0.0,2,0,M,1,mr,True,3203,106.77,8.9,3803
4171,664010660,user,it,Italie,en,22,8,81,0,3,66.0,4,0,M,1,mr,True,3203,106.77,8.9,3803
4172,663748516,user,us,Etats-Unis,en,22,14,56,0,0,0.0,3,3,M,1,mr,False,3203,106.77,8.9,3803
4173,663420836,user,ch,Suisse,de,11,8,34,0,0,0.0,5,5,M,1,mr,True,3203,106.77,8.9,3803
4174,663093156,user,fr,France,fr,5,8,1,0,0,0.0,1,0,M,1,mr,True,3203,106.77,8.9,3803
4175,662831012,user,er,Érythrée,fr,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4176,662765476,user,it,Italie,it,82,33,320,0,0,0.0,628,23,M,1,mr,True,3203,106.77,8.9,3803
4177,662568868,user,it,Italie,en,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4178,661716900,user,fr,France,fr,13,8,5,0,1,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4179,661520292,user,fr,France,fr,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4180,661127076,user,ie,Irlande,en,6,8,0,0,1,0.0,0,1,M,1,mr,True,3203,106.77,8.9,3803
4181,660930468,user,es,Espagne,es,294,0,124,0,127,88.0,6,0,M,1,mr,False,3203,106.77,8.9,3803
4182,660668324,user,de,Allemagne,de,82,12,12,3,8,100.0,10,2,M,1,mr,False,3203,106.77,8.9,3803
4183,660406180,user,gb,Royaume-Uni,en,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4184,660275108,user,us,Etats-Unis,en,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4185,659554212,user,us,Etats-Unis,en,6,8,9,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4186,659160996,user,it,Italie,it,129,190,55,14,10,80.0,2,0,M,1,mr,False,3203,106.77,8.9,3803
4187,658309028,user,it,Italie,it,12,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4188,658177956,user,be,Belgique,en,53,12,253,15,49,96.0,64,13,M,1,mr,True,3203,106.77,8.9,3803
4189,657850276,user,fr,France,fr,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4190,657719204,user,us,Etats-Unis,es,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4191,657522596,user,fr,France,fr,8,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4192,657457060,user,it,Italie,it,5,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4193,657391524,user,fr,France,fr,5,8,2,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4194,657260452,user,fr,France,fr,8,9,42,0,0,0.0,1,2,M,1,mr,True,3203,106.77,8.9,3803
4195,656932772,user,de,Allemagne,de,5,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4196,656801700,user,dk,Danemark,en,45,2,1072,0,10,90.0,18,10,M,1,mr,False,3203,106.77,8.9,3803
4197,656670628,user,it,Italie,it,546,50,386,22,96,59.0,2,0,M,1,mr,False,3203,106.77,8.9,3803
4198,655949732,user,es,Espagne,es,5,8,4,0,0,0.0,3,0,M,1,mr,True,3203,106.77,8.9,3803
4199,655490980,user,fr,France,en,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4200,655425444,user,fr,France,en,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4201,655359908,user,fr,France,en,5,9,6,0,0,0.0,1,2,M,1,mr,True,3203,106.77,8.9,3803
4202,654442404,user,de,Allemagne,de,16,11,36,0,0,0.0,3,4,M,1,mr,True,3203,106.77,8.9,3803
4203,654311332,user,dk,Danemark,en,18,8,7,0,0,0.0,5,0,M,1,mr,True,3203,106.77,8.9,3803
4204,654245796,user,fr,France,fr,5,8,16,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4205,654049188,user,de,Allemagne,de,8,10,296,0,0,0.0,6,20,M,1,mr,True,3203,106.77,8.9,3803
4206,653918116,user,gb,Royaume-Uni,en,36,14,131,5,30,96.0,0,6,M,1,mr,True,3203,106.77,8.9,3803
4207,653655972,user,fr,France,fr,5,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4208,653590436,user,fr,France,fr,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4209,653524900,user,be,Belgique,fr,10,8,2,0,0,0.0,0,0,M,1,mr,False,3203,106.77,8.9,3803
4210,653459364,user,es,Espagne,fr,37,9,22,0,1,0.0,0,17,M,1,mr,True,3203,106.77,8.9,3803
4211,653066148,user,fr,France,fr,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4212,652869540,user,us,Etats-Unis,en,5,8,2,0,0,0.0,5,0,M,1,mr,True,3203,106.77,8.9,3803
4213,652476324,user,it,Italie,it,6,8,7,0,1,0.0,0,7,M,1,mr,True,3203,106.77,8.9,3803
4214,652083108,user,au,Australie,en,5,8,2,0,0,0.0,2,0,M,1,mr,True,3203,106.77,8.9,3803
4215,650772388,user,fr,France,fr,5,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4216,650706852,user,it,Italie,it,8,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4217,650444708,user,it,Italie,it,3,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4218,650248100,user,fr,France,fr,7,8,14,0,0,0.0,1,1,M,1,mr,True,3203,106.77,8.9,3803
4219,649789348,user,fr,France,fr,3,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4220,649723812,user,fr,France,en,15,8,5,2,12,91.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4221,649658276,user,it,Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4222,649133988,user,nl,Pays-Bas,en,3,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
4223,648675236,user,it,Italie,it,5,8,0,0,0,0.0,0,0,M,1,mr,False,3203,106.77,8.9,3803
4224,648282020,user,it,Italie,it,5,8,1,0,0,0.0,0,0,M,1,mr,True,3203,106.77,8.9,3803
