,identifierHash,type,countryCode,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasProfilePicture,seniority,seniorityAsMonths,seniorityAsYears,websiteLongevity
16596,972685219,user,fr,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16597,971505571,user,it,Italie,it,3,8,2,0,0,0.0,0,1,M,1,mr,True,2857,95.23,7.94,3803
16598,971177891,user,fr,France,fr,3,9,4,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16599,971046819,user,dk,Danemark,en,56,13,603,0,1,0.0,1678,15,M,1,mr,False,2857,95.23,7.94,3803
16600,970915747,user,nl,Pays-Bas,en,3,8,11,0,0,0.0,0,2,M,1,mr,True,2857,95.23,7.94,3803
16601,970653603,user,fr,France,fr,4,8,27,0,0,0.0,1,3,M,1,mr,True,2857,95.23,7.94,3803
16602,970456995,user,gb,Royaume-Uni,en,3,8,34,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16603,970260387,user,de,Allemagne,de,46,8,331,41,32,96.0,373,42,M,1,mr,False,2857,95.23,7.94,3803
16604,970194851,user,fr,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16605,969998243,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16606,969867171,user,dk,Danemark,en,16,8,167,0,1,0.0,0,13,M,1,mr,True,2857,95.23,7.94,3803
16607,968621987,user,it,Italie,it,23,9,0,0,3,66.0,24,2,M,1,mr,False,2857,95.23,7.94,3803
16608,968556451,user,us,Etats-Unis,en,4,8,10,0,0,0.0,1,0,M,1,mr,True,2857,95.23,7.94,3803
16609,968490915,user,it,Italie,it,9,8,49,0,1,0.0,9,0,M,1,mr,False,2857,95.23,7.94,3803
16610,968425379,user,gb,Royaume-Uni,en,4,8,28,0,0,0.0,0,1,M,1,mr,True,2857,95.23,7.94,3803
16611,968294307,user,fr,France,fr,4,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16612,968228771,user,de,Allemagne,de,7,8,6,0,2,100.0,29,8,M,1,mr,True,2857,95.23,7.94,3803
16613,968097699,user,fr,France,en,4,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16614,967901091,user,be,Belgique,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16615,967835555,user,us,Etats-Unis,en,3,8,1,0,0,0.0,2,0,M,1,mr,True,2857,95.23,7.94,3803
16616,967770019,user,fr,France,fr,15,16,47,0,0,0.0,189,22,M,1,mr,True,2857,95.23,7.94,3803
16617,967573411,user,fr,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16618,967376803,user,es,Espagne,es,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16619,967245731,user,gb,Royaume-Uni,en,5,8,5,0,0,0.0,0,2,M,1,mr,True,2857,95.23,7.94,3803
16620,966983587,user,us,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16621,966918051,user,fr,France,fr,3,8,2,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16622,966721443,user,fr,France,fr,3,10,17,0,0,0.0,7,0,M,1,mr,True,2857,95.23,7.94,3803
16623,966655907,user,fr,France,fr,3,8,1,0,1,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16624,966524835,user,gb,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16625,966459299,user,dk,Danemark,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16626,966328227,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16627,966197155,user,es,Espagne,es,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16628,965738403,user,it,Italie,it,85,78,10,7,21,54.0,5,1,M,1,mr,False,2857,95.23,7.94,3803
16629,965017507,user,fr,France,fr,3,8,9,0,0,0.0,0,1,M,1,mr,True,2857,95.23,7.94,3803
16630,964820899,user,fr,France,fr,6,8,15,0,1,0.0,0,1,M,1,mr,True,2857,95.23,7.94,3803
16631,964624291,user,de,Allemagne,de,4,8,0,0,0,0.0,0,10,M,1,mr,True,2857,95.23,7.94,3803
16632,964362147,user,fr,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16633,964165539,user,fr,France,fr,3,9,41,0,0,0.0,12,0,M,1,mr,True,2857,95.23,7.94,3803
16634,964034467,user,gb,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16635,963903395,user,us,Etats-Unis,en,3,8,22,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16636,963837859,user,fi,Finlande,en,66,10,309,0,0,0.0,4,15,M,1,mr,True,2857,95.23,7.94,3803
16637,963772323,user,es,Espagne,es,3,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16638,963706787,user,us,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,True,2857,95.23,7.94,3803
16639,963444643,user,gb,Royaume-Uni,en,5,8,1,0,0,0.0,5,0,M,1,mr,True,2857,95.23,7.94,3803
16640,963248035,user,gb,Royaume-Uni,en,26,8,30,1,28,90.0,4,1,M,1,mr,True,2857,95.23,7.94,3803
