,identifierHash,type,countryCode,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasProfilePicture,seniority,seniorityAsMonths,seniorityAsYears,websiteLongevity
0,1920991140,user,us,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
1,1920860068,user,se,Suède,en,3,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
2,1920401316,user,it,Italie,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
3,1919811492,user,dk,Danemark,en,75,10,1968,0,0,0.0,43,15,M,1,mr,True,3206,106.87,8.91,3803
4,1919025060,user,de,Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
5,1918697380,user,it,Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
6,1918042020,user,dk,Danemark,en,3,8,3,0,0,0.0,1,0,M,1,mr,True,3206,106.87,8.91,3803
7,1917845412,user,fr,France,fr,35,8,24,0,1,0.0,8,3,M,1,mr,False,3206,106.87,8.91,3803
8,1916338084,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
9,1916207012,user,fr,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
10,1915682724,user,fr,France,fr,11,9,21,0,2,100.0,2,2,M,1,mr,True,3206,106.87,8.91,3803
11,1914961828,user,fr,France,fr,4,8,41,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
12,1914634148,user,ca,Canada,en,4,10,5,0,0,0.0,7,2,M,1,mr,True,3206,106.87,8.91,3803
13,1914437540,user,de,Allemagne,de,3,8,31,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
14,1914175396,user,gb,Royaume-Uni,en,7,8,22,0,0,0.0,15,5,M,1,mr,True,3206,106.87,8.91,3803
15,1913913252,user,us,Etats-Unis,en,3,8,4,0,0,0.0,3,0,M,1,mr,True,3206,106.87,8.91,3803
16,1913782180,user,us,Etats-Unis,en,5,8,74,0,1,0.0,7,0,M,1,mr,True,3206,106.87,8.91,3803
17,1913520036,user,au,Australie,en,3,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
18,1913454500,user,us,Etats-Unis,en,3,8,16,0,0,0.0,0,1,M,1,mr,True,3206,106.87,8.91,3803
19,1912864676,user,us,Etats-Unis,en,4,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
20,1912602532,user,fr,France,es,6,11,5,0,0,0.0,0,0,M,1,mr,False,3206,106.87,8.91,3803
21,1912143780,user,gb,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
22,1912012708,user,fr,France,fr,11,8,6,0,2,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
23,1911816100,user,de,Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
24,1911095204,user,fr,France,fr,3,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
25,1910964132,user,fr,France,fr,3,8,4,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
26,1910636452,user,us,Etats-Unis,en,3,8,3,0,0,0.0,0,1,M,1,mr,True,3206,106.87,8.91,3803
27,1910570916,user,au,Australie,en,3,8,5,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
28,1910505380,user,it,Italie,it,12,10,5,0,0,0.0,6,0,M,1,mr,True,3206,106.87,8.91,3803
29,1910374308,user,gb,Royaume-Uni,en,4,9,2,0,0,0.0,1,0,M,1,mr,True,3206,106.87,8.91,3803
30,1910243236,user,ie,Irlande,en,11,14,135,0,0,0.0,0,14,M,1,mr,True,3206,106.87,8.91,3803
31,1909981092,user,gb,Royaume-Uni,en,12,8,0,0,3,66.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
32,1909784484,user,au,Australie,en,13,19,427,0,0,0.0,10,1,M,1,mr,True,3206,106.87,8.91,3803
33,1909325732,user,fr,France,fr,3,8,23,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
34,1909194660,user,fr,France,fr,3,8,4,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
35,1908866980,user,us,Etats-Unis,en,3,8,4,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
36,1908801444,user,de,Allemagne,de,4,8,1,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
37,1908670372,user,de,Allemagne,de,3,8,24,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
38,1908473764,user,de,Allemagne,de,3,9,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
39,1907949476,user,au,Australie,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
40,1907490724,user,gb,Royaume-Uni,en,3,8,3,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
41,1907294116,user,au,Australie,en,7,8,89,0,0,0.0,0,0,M,1,mr,True,3206,106.87,8.91,3803
